Store,Date,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
8,17-09-2010,0,75.32,2.582,214.8785562,6.315
7,11-03-2011,0,20.7,3.372,192.058484,8.818
42,12-11-2010,0,61.24,3.13,126.5461613,9.003
15,26-08-2011,0,69.19,3.906,136.2136129,7.806
42,19-08-2011,0,87.4,3.743,129.2405806,8.257
4,19-08-2011,0,82.77,3.55,129.2405806,5.644
13,18-02-2011,0,40.85,3.062,127.99525,7.47
33,18-06-2010,0,87.69,2.935,126.114,9.849
39,13-04-2012,0,71.59,3.891,220.1953389,6.989
28,18-11-2011,0,54.2,3.813,129.8268333,12.89
6,24-09-2010,0,76.49,2.624,213.1152886,6.973
23,08-10-2010,0,50.75,2.776,132.7516667,5.287
44,20-05-2011,0,52.12,3.802,129.0756774,6.906
10,07-01-2011,0,43.43,3.287,127.1917742,8.744
11,03-06-2011,0,86.14,3.699,218.6449369,7.574
16,19-08-2011,0,68.83,3.499,194.2500634,6.338
29,28-10-2011,0,49.31,3.604,136.4884516,9.357
14,05-02-2010,0,27.31,2.784,181.8711898,8.992
33,06-05-2011,0,77.92,4.193,129.0444333,8.687
16,07-10-2011,0,48.91,3.498,194.9459724,6.232
4,26-11-2010,1,48.08,2.752,126.6692667,7.127
26,24-12-2010,0,21.81,3.15,132.7477419,8.149
25,19-02-2010,0,24.16,2.745,204.4321004,8.187
11,12-08-2011,0,90.3,3.638,218.9605873,7.567
30,31-12-2010,1,47.19,2.943,211.064774,8.163
43,03-06-2011,0,83.49,3.699,207.1039009,10.581
35,22-10-2010,0,52.82,2.917,136.688871,8.763
7,29-10-2010,0,34.78,2.748,190.951728,9.137
34,28-09-2012,0,67.06,3.666,131.043,9.285
2,02-03-2012,0,58.79,3.63,220.4866886,7.057
9,06-05-2011,0,62.2,3.906,219.4315106,6.38
16,25-11-2011,1,31.39,3.424,195.7704,6.232
18,21-05-2010,0,60.27,2.961,132.2230323,9.269
41,22-04-2011,0,42.86,3.636,192.5234638,6.934
21,17-02-2012,0,45.03,3.51,220.0651993,7.057
8,13-07-2012,0,78.46,3.256,225.4831143,5.401
26,16-04-2010,0,36.6,2.885,131.9809,8.512
